Mesorregiao,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Campo das Vertentes,571431,574808,578211,581688,584948,588128,591404,594581,597651,600612,571162,571162
Central Mineira,402262,404748,407256,409818,412219,414562,416973,419315,421578,423755,412746,412746
Jequitinhonha,714684,716031,717395,718782,720083,721352,722659,723929,725159,726339,660227,660227
Metropolitana de Belo Horizonte,6457805,6510296,6563236,6617344,6667980,6717471,6768382,6817784,6865553,6911535,6722224,6722224
Noroeste de Minas,401483,404044,406628,409268,411736,414152,416638,419048,421377,423622,417459,417459
Norte de Minas,1658845,1668072,1677389,1686908,1695814,1704516,1713465,1722156,1730560,1738644,1657829,1657829
Oeste de Minas,991935,1001417,1010987,1020765,1029909,1038854,1048056,1056982,1065611,1073923,1077007,1077007
Sul / Sudoeste de Minas,2511169,2526045,2541038,2556381,2570717,2584746,2599172,2613168,2626702,2639730,2598702,2598702
Triângulo Mineiro / Alto Paranaíba,2229878,2252422,2275155,2298401,2320136,2341398,2363260,2384478,2404988,2424736,2454011,2454011
Vale do Mucuri,392840,393005,393174,393344,393508,393665,393827,393985,394135,394281,368989,368989
Vale do Rio Doce,1656546,1663045,1669603,1676300,1682568,1688695,1695000,1701119,1707029,1712727,1547489,1547489
Zona da Mata,2246326,2257395,2268559,2279979,2290646,2301089,2311826,2322246,2332323,2342019,2244815,2244815